ID,fips_code,year,deck_cond,superstructure_cond,channel_cond,culvert_cond
00000000000S702,01,1999,8,8,7,N
00000000000S703,01,2002,7,7,7,N
0000000000M0022,01,1942,5,7,6,N
000000883039900,01,1974,8,8,9,N
000001014002450,01,1937,6,6,9,N
000001331700710,01,1924,5,6,8,N
00000133170071A,01,1926,6,5,9,N
000002,01,1898,8,4,7,N
000004,01,1900,4,4,7,N
000004504800350,01,1939,7,7,8,N
000005,01,1900,5,5,6,N
000007,01,1993,7,6,7,N
000008,01,1927,5,3,N,N
00000B253040000,01,1969,7,6,9,N
00000T721700150,01,1953,6,7,7,N
000010,01,1900,3,2,3,N
000012,01,1900,5,6,N,N
000013,01,1900,N,N,6,5
000013771700120,01,1958,8,8,N,N
000016,01,1900,3,3,3,N
000018,01,1900,3,3,5,N
000019,01,1900,N,N,5,5
000020,01,1900,6,4,5,N
000022,01,1902,6,5,5,N
000024,01,1904,5,2,4,N
000029,01,1908,6,6,5,N
000030,01,1908,6,5,5,N
000037,01,1910,6,6,7,N
000039,01,1910,4,3,7,N
000040,01,1910,4,4,N,N
000041,01,1910,6,6,5,N
000042,01,1910,N,N,6,6
000043660-00015,01,1960,7,7,6,N
000043660-00016,01,1960,7,7,6,N
000047,01,1910,N,N,7,5
000050,01,1910,6,6,5,N
000053,01,1910,5,5,5,N
000058,01,1912,3,3,N,N
000060,01,1994,8,8,N,N
000062,01,1912,5,6,N,N
000064,01,1912,4,3,1,N
000069,01,1912,6,7,6,N
000071,01,1913,6,6,6,N
000072,01,1913,5,5,7,N
000073,01,1913,6,6,7,N
000074,01,1913,N,N,7,6
000075,01,1913,6,6,6,N
000076,01,1913,5,5,N,N
000078,01,1913,6,6,6,N
000080,01,1914,6,6,6,N
000083,01,1914,8,7,5,N
000085,01,1915,5,4,5,N
000087,01,1915,6,4,7,N
000090,01,1915,4,3,N,N
000091,01,1915,4,4,N,N
000093,01,1915,N,N,5,6
000095,01,1915,4,5,7,N
000096,01,1915,5,5,6,N
000097,01,1915,6,6,6,N
000098,01,1915,6,6,6,N
000100,01,1915,5,5,N,N
000101,01,1915,6,5,4,N
000102,01,1915,6,6,5,N
000105,01,1915,6,6,6,N
000107,01,1915,5,4,5,N
000108,01,1993,N,N,6,7
000109,01,1993,N,N,6,6
000111,01,1917,N,N,6,6
000112,01,1917,N,N,6,6
000113,01,1917,6,5,5,N
000114,01,1917,3,4,6,N
000116,01,1918,N,N,6,5
000117,01,1918,N,N,6,6
000118,01,1918,N,N,5,5
000126,01,1920,5,2,6,N
000133,01,1920,4,4,7,N
000136,01,1920,6,6,6,N
000137,01,1920,7,7,5,N
000138,01,1920,4,3,4,N
000141,01,1920,7,7,7,N
000143,01,1920,6,5,7,N
000145,01,1920,6,6,4,N
000146,01,1920,8,6,7,N
000147,01,1920,6,6,6,N
000149,01,1920,5,5,5,N
000152,01,1920,4,3,5,N
000153,01,1920,N,N,6,5
000155,01,1920,8,6,7,N
000157,01,1993,N,N,7,7
000158,01,1920,1,1,5,N
000160,01,1920,5,6,6,N
000161,01,1920,7,6,6,N
000163,01,1920,6,6,6,N
000164,01,1920,6,4,5,N
000165,01,1920,6,6,6,N
000166,01,1920,5,4,5,N
000167,01,1920,6,4,5,N
000170,01,1989,N,N,8,8
000171,01,1928,5,5,N,N
000172,01,1921,6,5,5,N
000175,01,1921,5,5,7,N
000176,01,1921,6,5,6,N
000178,01,1921,8,5,6,N
000179,01,1921,5,5,4,N
000186,01,1922,7,5,5,N
000187,01,1922,N,N,6,6
000188,01,1922,N,N,6,7
000189,01,1922,N,N,6,7
000190,01,1922,N,N,7,7
000191,01,1922,N,N,7,6
000192,01,1922,N,N,6,6
000197,01,1922,6,7,7,N
000198,01,1922,6,5,N,N
000202,01,1922,6,4,5,N
000203,01,1922,6,6,6,N
000205,01,1922,6,5,5,N
000206,01,1922,5,4,4,N
000207,01,1923,6,6,N,N
000209,01,1923,5,5,5,N
000210,01,1923,5,6,5,N
000211,01,1923,6,7,6,N
000222,01,1924,N,N,5,5
000223,01,1924,N,N,6,6
000224,01,1924,N,N,6,5
000225,01,1924,6,5,N,N
000226,01,1924,6,7,6,N
000227,01,1924,6,6,6,N
000228,01,1924,5,7,7,N
000229,01,1924,6,6,7,N
000232,01,1924,N,N,7,7
000233,01,1924,5,5,7,N
000234,01,1924,N,N,6,6
000235,01,1924,N,N,6,6
000243,01,1924,6,6,5,N
000244,01,1924,7,5,7,N
000245,01,1924,5,5,6,N
000246,01,1924,5,6,6,N
000247,01,1924,N,N,7,7
000249,01,1924,6,6,N,N
000251,01,1900,N,N,6,6
000252,01,1925,4,5,7,N
000253,01,1925,N,N,7,6
000257,01,1925,5,5,7,N
000258,01,1925,6,5,8,N
000259,01,1925,5,6,N,N
000260,01,1925,5,5,6,N
000261,01,1925,5,5,6,N
000264,01,1925,4,5,5,N
000265,01,1925,N,N,5,6
000267,01,1925,N,N,6,7
000268,01,1925,N,N,6,7
000269,01,1925,N,N,5,6
000270,01,1992,N,N,7,7
000271,01,1925,5,4,5,N
000273,01,1925,6,6,7,N
000276,01,1925,N,N,6,5
000277,01,1925,N,N,6,6
000278,01,1925,6,6,6,N
000280,01,1925,5,5,6,N
000281,01,1925,6,6,6,N
000282,01,1925,6,6,5,N
000283,01,1925,N,N,6,7
000284,01,1925,N,N,4,5
000285,01,1925,N,N,7,7
000286,01,1925,N,N,7,7
000287,01,1925,5,5,5,N
000288,01,1925,7,7,6,N
000290,01,1925,7,6,6,N
000291,01,1925,N,N,6,6
000292,01,1925,4,6,5,N
000293,01,1925,4,5,6,N
000294,01,1925,6,6,6,N
000296,01,1925,N,N,5,6
000297,01,1925,N,N,6,6
000298,01,1925,3,2,7,N
000299,01,1925,5,5,7,N
000305,01,1925,N,N,7,7
000309,01,1925,6,4,8,N
000311,01,1925,6,6,6,N
000312,01,1925,4,5,6,N
000313,01,1925,5,6,6,N
000314,01,1925,5,6,5,N
000315,01,1925,4,6,4,N
000317,01,1925,6,4,6,N
000319,01,1925,6,5,5,N
000320,01,1925,4,4,6,N
000321,01,1925,6,3,5,N
000322,01,1900,6,6,7,N
000325,01,1926,5,5,6,N
000326,01,1926,5,5,6,N
000327,01,1926,5,5,5,N
000328,01,1926,7,7,6,N
000334,01,1926,5,5,6,N
000335,01,1926,N,N,6,6
000336,01,1926,N,N,5,5
000337,01,1926,N,N,5,6
000338,01,1926,N,N,7,7
000340,01,1926,N,N,5,6
000341,01,1926,N,N,5,6
000343,01,1926,N,N,7,7
000344,01,1926,N,N,7,6
000346,01,1926,N,N,7,6
000347,01,1926,6,5,6,N
000348,01,1926,5,4,6,N
000349,01,1926,5,6,6,N
000350,01,1926,7,7,7,N
000351,01,1926,N,N,7,7
000352,01,1926,N,N,7,4
000353,01,1926,N,N,6,5
000354,01,1926,N,N,6,6
000355,01,1926,N,N,6,5
000356,01,1926,5,5,6,N
000357,01,1926,6,6,6,N
000358,01,1926,N,N,7,7
000360,01,1926,N,N,6,6
000361,01,1926,N,N,5,6
000366,01,1926,5,5,7,N
000367,01,1926,N,N,6,6
000369,01,1926,N,N,5,6
000370,01,1926,N,N,6,7
000372,01,1926,N,N,6,7
000374,01,1900,4,5,5,N
000375,01,1957,6,5,7,N
000378,01,1927,6,5,5,N
000385,01,1927,N,N,7,7
000387,01,1927,N,N,6,6
000388,01,1927,N,N,5,6
000389,01,1927,N,N,5,6
000390,01,1927,N,N,6,7
000392,01,1927,N,N,5,5
000393,01,1927,N,N,5,5
000394,01,1927,N,N,6,6
000395,01,1927,6,6,6,N
000397,01,1927,4,4,7,N
000399,01,1927,N,N,7,8
000400,01,1927,N,N,6,8
000401,01,1927,N,N,8,8
000402,01,1927,N,N,7,7
000403,01,1927,N,N,7,7
000404,01,1927,N,N,5,6
000405,01,1927,N,N,6,5
000406,01,1927,6,6,6,N
000407,01,1927,7,6,6,N
000409,01,1927,N,N,6,6
000412,01,1927,N,N,6,6
000413,01,1942,N,N,6,6
000415,01,1927,N,N,7,6
000419,01,1927,5,6,7,N
000420,01,1927,5,5,7,N
000421,01,1927,N,N,6,7
000424,01,1927,4,4,7,N
000425,01,1927,5,5,7,N
000426,01,1927,5,5,N,N
000427,01,1927,N,N,6,6
000428,01,1927,N,N,6,7
000429,01,1927,5,6,6,N
000430,01,1927,6,6,6,N
000431,01,1927,7,6,7,N
000432,01,1927,N,N,6,7
000433,01,1927,N,N,6,7
000434,01,1927,4,4,6,N
000435,01,1927,6,6,7,N
000436,01,1927,6,6,7,N
000437,01,1927,5,5,6,N
000438,01,1924,5,5,N,N
000439,01,1927,5,6,6,N
000440,01,1927,4,3,6,N
000442,01,1927,5,5,7,N
000447,01,1927,7,7,6,N
000449,01,1928,5,5,7,N
000453,01,1989,N,N,7,7
000455,01,1928,5,5,6,N
000458,01,1928,5,5,6,N
000461,01,1928,5,5,6,N
000462,01,1928,N,N,5,6
000463,01,1928,5,5,5,N
000467,01,1928,N,N,6,6
000468,01,1928,N,N,5,6
000469,01,1928,6,6,6,N
000471,01,1928,N,N,5,6
000472,01,1928,N,N,6,6
000473,01,1928,7,6,N,N
000474,01,1928,6,6,4,N
000476,01,1928,5,4,5,N
000477,01,1928,N,N,6,6
000478,01,1928,N,N,7,7
000480,01,1928,N,N,5,6
000481,01,1928,5,5,6,N
000482,01,1928,N,N,6,6
000483,01,1928,N,N,6,6
000484,01,1928,N,N,8,7
000485,01,1928,5,6,6,N
000486,01,1928,6,6,4,N
000487,01,1928,4,5,4,N
000488,01,1928,4,5,4,N
000489,01,1928,5,5,6,N
000493,01,1928,5,4,6,N
000494,01,1928,N,N,7,7
000495,01,1928,N,N,7,6
000496,01,1928,4,4,6,N
000497,01,1928,5,4,4,N
000498,01,1928,N,N,5,6
000499,01,1928,N,N,5,6
000500,01,1928,N,N,6,6
000501,01,1928,N,N,6,4
000502,01,1928,4,4,7,N
000503,01,1928,4,3,7,N
000504,01,1928,3,5,6,N
000505,01,1928,N,N,6,6
000510,01,1928,N,N,7,7
000511,01,1928,7,6,7,N
000512,01,1928,N,N,6,6
000513,01,1928,N,N,6,6
000514,01,1928,N,N,7,6
000515,01,1928,N,N,6,6
000516,01,1928,N,N,6,8
000517,01,1928,5,6,5,N
000518,01,1928,N,N,6,6
000519,01,1928,5,5,5,N
000520,01,1928,5,5,6,N
000521,01,1928,N,N,5,7
000522,01,1928,N,N,6,6
000523,01,1928,N,N,6,5
000525,01,1977,N,N,6,6
000526,01,1928,6,7,6,N
000528,01,1928,5,5,7,N
000534,01,1928,5,5,5,N
000536,01,1974,N,N,6,7
000538,01,1928,N,N,6,6
000539,01,1928,N,N,6,6
000540,01,1928,N,N,6,6
000541,01,1928,4,4,6,N
000543,01,1928,5,5,7,N
000544,01,1928,N,N,6,6
000545,01,1928,N,N,6,7
000547,01,1928,N,N,6,7
000549,01,1928,4,5,6,N
000550,01,1928,5,5,5,N
000553,01,1928,6,6,6,N
000554,01,1928,N,N,5,5
000555,01,1928,N,N,7,7
000556,01,1928,6,6,7,N
000557,01,1928,N,N,7,7
000558,01,1928,6,6,6,N
000559,01,1928,5,6,5,N
000561,01,1928,5,3,5,N
000562,01,1928,3,4,4,N
000563,01,1928,5,3,5,N
000570,01,1929,7,6,7,N
000571,01,1929,3,3,6,N
000572,01,1972,7,7,6,N
000573,01,1929,N,N,7,7
000576,01,1929,5,5,7,N
000580,01,1929,6,6,7,N
000582,01,1929,6,6,6,N
000583,01,1929,N,N,6,6
000584,01,1929,N,N,6,7
000585,01,1929,N,N,6,6
000586,01,1929,N,N,6,7
000587,01,1929,N,N,6,6
000588,01,1929,N,N,6,6
000589,01,1929,N,N,6,6
000590,01,1929,N,N,6,7
000591,01,1929,N,N,6,6
000592,01,1929,N,N,7,7
000593,01,1929,N,N,6,5
000594,01,1929,N,N,6,5
000595,01,1929,N,N,6,6
000596,01,1929,N,N,7,6
000598,01,1929,N,N,7,6
000599,01,1929,N,N,5,7
000600,01,1929,N,N,7,7
000601,01,1929,6,6,N,N
000602,01,1929,N,N,6,6
000603,01,1929,N,N,6,7
000604,01,1929,7,7,6,N
000605,01,1929,N,N,6,7
000606,01,1929,N,N,7,7
000607,01,1929,N,N,7,6
000608,01,1929,N,N,6,7
000609,01,1991,N,N,6,7
